"DateTime","depth","temp","DateTime_H"
"2017-04-30 12:00:00",9,9.3285,2017-04-30 12:00:00
"2017-04-30 12:00:00",9.2,9.3533,2017-04-30 12:00:00
"2017-05-01 12:00:00",0.1,19.65,2017-05-01 12:00:00
"2017-05-01 12:00:00",2,17.5,2017-05-01 12:00:00
"2017-05-01 12:00:00",4,11.8,2017-05-01 12:00:00
"2017-05-01 12:00:00",5,9.4,2017-05-01 12:00:00
"2017-05-01 12:00:00",6,9.3,2017-05-01 12:00:00
"2017-05-01 12:00:00",8,9.3,2017-05-01 12:00:00
"2017-05-01 12:00:00",9,9.3,2017-05-01 12:00:00
"2017-05-01 12:00:00",9.2,9.3,2017-05-01 12:00:00
"2017-05-04 12:00:00",0.1,17.1867,2017-05-04 12:00:00
"2017-05-04 12:00:00",1,16.3492,2017-05-04 12:00:00
"2017-05-04 12:00:00",2,15.0129,2017-05-04 12:00:00
"2017-05-04 12:00:00",3,11.982,2017-05-04 12:00:00
"2017-05-04 12:00:00",4,10.2193,2017-05-04 12:00:00
"2017-05-04 12:00:00",5,9.5569,2017-05-04 12:00:00
"2017-05-04 12:00:00",6,9.567,2017-05-04 12:00:00
"2017-05-04 12:00:00",7,9.5404,2017-05-04 12:00:00
"2017-05-04 12:00:00",8,9.5348,2017-05-04 12:00:00
"2017-05-04 12:00:00",9,9.5336,2017-05-04 12:00:00
"2017-05-04 12:00:00",9.2,9.5331,2017-05-04 12:00:00
"2017-05-07 12:00:00",0.1,14.9571,2017-05-07 12:00:00
"2017-05-07 12:00:00",1,14.8675,2017-05-07 12:00:00
"2017-05-07 12:00:00",2,14.698,2017-05-07 12:00:00
"2017-05-07 12:00:00",3,12.4828,2017-05-07 12:00:00
"2017-05-07 12:00:00",4,9.7701,2017-05-07 12:00:00
"2017-05-07 12:00:00",5,9.6964,2017-05-07 12:00:00
"2017-05-07 12:00:00",6,9.6778,2017-05-07 12:00:00
"2017-05-07 12:00:00",7,9.6684,2017-05-07 12:00:00
"2017-05-07 12:00:00",8,9.6652,2017-05-07 12:00:00
"2017-05-07 12:00:00",9,9.6664,2017-05-07 12:00:00
"2017-05-07 12:00:00",9.2,9.6671,2017-05-07 12:00:00
"2017-05-08 09:39:00",0.1,14.95,2017-05-08 09:00:00
"2017-05-08 09:39:00",1,15,2017-05-08 09:00:00
"2017-05-08 09:39:00",2,14.8,2017-05-08 09:00:00
"2017-05-08 09:39:00",3,13.7,2017-05-08 09:00:00
"2017-05-08 09:39:00",4,12.4,2017-05-08 09:00:00
"2017-05-08 09:39:00",5,9.8,2017-05-08 09:00:00
"2017-05-08 09:39:00",6,9.7,2017-05-08 09:00:00
"2017-05-08 09:39:00",8,9.7,2017-05-08 09:00:00
"2017-05-08 09:39:00",9,9.6,2017-05-08 09:00:00
"2017-05-08 09:39:00",9.2,9.6,2017-05-08 09:00:00
"2017-05-09 12:00:00",0.1,15.0035,2017-05-09 12:00:00
"2017-05-09 12:00:00",1,14.794,2017-05-09 12:00:00
"2017-05-09 12:00:00",2,13.5531,2017-05-09 12:00:00
"2017-05-09 12:00:00",3,12.9311,2017-05-09 12:00:00
"2017-05-09 12:00:00",4,10.0481,2017-05-09 12:00:00
"2017-05-09 12:00:00",5,9.7849,2017-05-09 12:00:00
"2017-05-09 12:00:00",6,9.779,2017-05-09 12:00:00
"2017-05-09 12:00:00",7,9.7753,2017-05-09 12:00:00
"2017-05-09 12:00:00",8,9.7712,2017-05-09 12:00:00
"2017-05-09 12:00:00",9,9.7689,2017-05-09 12:00:00
"2017-05-09 12:00:00",9.2,9.7672,2017-05-09 12:00:00
"2017-05-14 12:00:00",0.1,17.5529,2017-05-14 12:00:00
"2017-05-14 12:00:00",1,17.4872,2017-05-14 12:00:00
"2017-05-14 12:00:00",2,14.8232,2017-05-14 12:00:00
"2017-05-14 12:00:00",3,12.5661,2017-05-14 12:00:00
"2017-05-14 12:00:00",4,10.6059,2017-05-14 12:00:00
"2017-05-14 12:00:00",5,9.9775,2017-05-14 12:00:00
"2017-05-14 12:00:00",6,9.9663,2017-05-14 12:00:00
"2017-05-14 12:00:00",7,9.9595,2017-05-14 12:00:00
"2017-05-14 12:00:00",8,9.9554,2017-05-14 12:00:00
"2017-05-14 12:00:00",9,9.9756,2017-05-14 12:00:00
"2017-05-14 12:00:00",9.2,9.9536,2017-05-14 12:00:00
"2017-05-15 11:07:00",0.1,17.3,2017-05-15 11:00:00
"2017-05-15 11:07:00",1,17.6,2017-05-15 11:00:00
"2017-05-15 11:07:00",2,17.6,2017-05-15 11:00:00
"2017-05-15 11:07:00",3,14.4,2017-05-15 11:00:00
"2017-05-15 11:07:00",4,12.9,2017-05-15 11:00:00
"2017-05-15 11:07:00",5,10.2,2017-05-15 11:00:00
"2017-05-15 11:07:00",6,10,2017-05-15 11:00:00
"2017-05-15 11:07:00",8,9.9,2017-05-15 11:00:00
"2017-05-15 11:07:00",9,9.9,2017-05-15 11:00:00
"2017-05-15 11:07:00",9.2,9.9,2017-05-15 11:00:00
"2017-05-18 12:01:00",0.1,22.3,2017-05-18 12:00:00
"2017-05-18 12:01:00",1,22.1,2017-05-18 12:00:00
"2017-05-18 12:01:00",2,18.3,2017-05-18 12:00:00
"2017-05-18 12:01:00",3,14.9,2017-05-18 12:00:00
"2017-05-18 12:01:00",4,13.1,2017-05-18 12:00:00
"2017-05-18 12:01:00",5,10.7,2017-05-18 12:00:00
"2017-05-18 12:01:00",6,10.2,2017-05-18 12:00:00
"2017-05-18 12:01:00",8,10.1,2017-05-18 12:00:00
"2017-05-18 12:01:00",9,10,2017-05-18 12:00:00
"2017-05-18 12:01:00",9.2,10,2017-05-18 12:00:00
"2017-05-22 09:35:00",0.1,19.3,2017-05-22 09:00:00
"2017-05-22 09:35:00",1,20.3,2017-05-22 09:00:00
"2017-05-22 09:35:00",2,20.3,2017-05-22 09:00:00
"2017-05-22 09:35:00",3,15.8,2017-05-22 09:00:00
"2017-05-22 09:35:00",4,13.3,2017-05-22 09:00:00
"2017-05-22 09:35:00",5,10.9,2017-05-22 09:00:00
"2017-05-22 09:35:00",6,10.5,2017-05-22 09:00:00
"2017-05-22 09:35:00",8,10.2,2017-05-22 09:00:00
